,nav
2025-05-02 10:00:00+00:00,10535.487173127864
2025-05-02 11:00:00+00:00,10537.176704119578
2025-05-02 12:00:00+00:00,10540.7960304002
2025-05-02 13:00:00+00:00,10533.848039694843
2025-05-02 14:00:00+00:00,10551.310793782197
2025-05-02 15:00:00+00:00,10544.505371571753
2025-05-02 16:00:00+00:00,10544.57854235884
2025-05-02 17:00:00+00:00,10545.616273908305
2025-05-02 18:00:00+00:00,10541.379375404438
2025-05-02 19:00:00+00:00,10537.41454286582
2025-05-02 20:00:00+00:00,10538.45685601153
2025-05-02 21:00:00+00:00,10534.337461976062
2025-05-02 22:00:00+00:00,10531.865421296288
2025-05-02 23:00:00+00:00,10535.905176408794
2025-05-03 00:00:00+00:00,10532.666661627818
2025-05-03 01:00:00+00:00,10529.080619296386
2025-05-03 02:00:00+00:00,10530.349721456218
2025-05-03 03:00:00+00:00,10527.170093662273
2025-05-03 04:00:00+00:00,10529.683368708249
2025-05-03 05:00:00+00:00,10528.706949696767
2025-05-03 06:00:00+00:00,10524.51222882892
2025-05-03 07:00:00+00:00,10526.940070580213
2025-05-03 08:00:00+00:00,10526.125893976932
2025-05-03 09:00:00+00:00,10525.047197566924
2025-05-03 10:00:00+00:00,10518.99100109535
2025-05-03 11:00:00+00:00,10519.691176803832
2025-05-03 12:00:00+00:00,10522.959202454736
2025-05-03 13:00:00+00:00,10525.995722742446
2025-05-03 14:00:00+00:00,10527.180200124578
2025-05-03 15:00:00+00:00,10528.084661124449
2025-05-03 16:00:00+00:00,10524.558583802691
2025-05-03 17:00:00+00:00,10524.04827483271
2025-05-03 18:00:00+00:00,10523.07401186652
2025-05-03 19:00:00+00:00,10527.067681510916
2025-05-03 20:00:00+00:00,10526.4090096743
2025-05-03 21:00:00+00:00,10525.330852275616
2025-05-03 22:00:00+00:00,10523.926323520898
2025-05-03 23:00:00+00:00,10518.411294417541
2025-05-04 00:00:00+00:00,10518.6948143734
2025-05-04 01:00:00+00:00,10522.658029878052
2025-05-04 02:00:00+00:00,10519.18450616028
2025-05-04 03:00:00+00:00,10517.209029661753
2025-05-04 04:00:00+00:00,10516.33178873369
2025-05-04 05:00:00+00:00,10521.522872031968
2025-05-04 06:00:00+00:00,10519.230322122728
2025-05-04 07:00:00+00:00,10518.495110678257
2025-05-04 08:00:00+00:00,10514.679449523257
2025-05-04 09:00:00+00:00,10512.047996244728
2025-05-04 10:00:00+00:00,10510.960540900724
2025-05-04 11:00:00+00:00,10510.421125319304
2025-05-04 12:00:00+00:00,10511.604659431621
2025-05-04 13:00:00+00:00,10509.894106998314
2025-05-04 14:00:00+00:00,10514.290687606597
2025-05-04 15:00:00+00:00,10511.399026611925
2025-05-04 16:00:00+00:00,10509.069958685559
2025-05-04 17:00:00+00:00,10510.606814720053
