sequence;count;avg_score
exd2+ Qxd2 Bxd2+ Bxd2 cxd6 Na3 d5 Nb5 Rg8 Na7;1;10.0
Qxd2 Bxd2+ Bxd2 cxd6 Na3 d5 Nb5 Rg8 Na7 Rg4;1;10.0
Bxd2+ Bxd2 cxd6 Na3 d5 Nb5 Rg8 Na7 Rg4 Nxc6;1;10.0
Bxd2 cxd6 Na3 d5 Nb5 Rg8 Na7 Rg4 Nxc6 Kxc6;1;10.0
cxd6 Na3 d5 Nb5 Rg8 Na7 Rg4 Nxc6 Kxc6 h3;1;10.0
Na3 d5 Nb5 Rg8 Na7 Rg4 Nxc6 Kxc6 h3 Kd7;1;10.0
d5 Nb5 Rg8 Na7 Rg4 Nxc6 Kxc6 h3 Kd7 hxg4;1;10.0
Nb5 Rg8 Na7 Rg4 Nxc6 Kxc6 h3 Kd7 hxg4 a4;1;10.0
Rg8 Na7 Rg4 Nxc6 Kxc6 h3 Kd7 hxg4 a4 gxh5;1;10.0
Na7 Rg4 Nxc6 Kxc6 h3 Kd7 hxg4 a4 gxh5 a3;1;10.0
Rg4 Nxc6 Kxc6 h3 Kd7 hxg4 a4 gxh5 a3 h6;1;10.0
Nxc6 Kxc6 h3 Kd7 hxg4 a4 gxh5 a3 h6 Ke7;1;10.0
Kxc6 h3 Kd7 hxg4 a4 gxh5 a3 h6 Ke7 h7;1;10.0
h3 Kd7 hxg4 a4 gxh5 a3 h6 Ke7 h7 Nh5;1;10.0
Kd7 hxg4 a4 gxh5 a3 h6 Ke7 h7 Nh5 h8=Q;1;10.0
hxg4 a4 gxh5 a3 h6 Ke7 h7 Nh5 h8=Q Ke6;1;10.0
a4 gxh5 a3 h6 Ke7 h7 Nh5 h8=Q Ke6 Qe8+;1;10.0
gxh5 a3 h6 Ke7 h7 Nh5 h8=Q Ke6 Qe8+ Kf6;1;10.0
a3 h6 Ke7 h7 Nh5 h8=Q Ke6 Qe8+ Kf6 Rxh5;1;10.0
h6 Ke7 h7 Nh5 h8=Q Ke6 Qe8+ Kf6 Rxh5 Kg7;1;10.0
Ke7 h7 Nh5 h8=Q Ke6 Qe8+ Kf6 Rxh5 Kg7 Rh8;1;10.0
h7 Nh5 h8=Q Ke6 Qe8+ Kf6 Rxh5 Kg7 Rh8 Kf6;1;10.0
Nh5 h8=Q Ke6 Qe8+ Kf6 Rxh5 Kg7 Rh8 Kf6 Rf8+;1;10.0
h8=Q Ke6 Qe8+ Kf6 Rxh5 Kg7 Rh8 Kf6 Rf8+ Kg7;1;10.0
Ke6 Qe8+ Kf6 Rxh5 Kg7 Rh8 Kf6 Rf8+ Kg7 Qf7#;1;10.0
d5 Nxd5 h4 Nf4 h5 Nxg2+ Bxg2 Nc6 Bd5 Nd4;1;10.0
Nxd5 h4 Nf4 h5 Nxg2+ Bxg2 Nc6 Bd5 Nd4 c4;1;10.0
h4 Nf4 h5 Nxg2+ Bxg2 Nc6 Bd5 Nd4 c4 Nc2+;1;10.0
Nf4 h5 Nxg2+ Bxg2 Nc6 Bd5 Nd4 c4 Nc2+ Kd2;1;10.0
h5 Nxg2+ Bxg2 Nc6 Bd5 Nd4 c4 Nc2+ Kd2 Ne1;1;10.0
Nxg2+ Bxg2 Nc6 Bd5 Nd4 c4 Nc2+ Kd2 Ne1 Qxe1;1;10.0
Bxg2 Nc6 Bd5 Nd4 c4 Nc2+ Kd2 Ne1 Qxe1 d6;1;10.0
Nc6 Bd5 Nd4 c4 Nc2+ Kd2 Ne1 Qxe1 d6 Bc6+;1;10.0
Bd5 Nd4 c4 Nc2+ Kd2 Ne1 Qxe1 d6 Bc6+ bxc6;1;10.0
Nd4 c4 Nc2+ Kd2 Ne1 Qxe1 d6 Bc6+ bxc6 b3;1;10.0
c4 Nc2+ Kd2 Ne1 Qxe1 d6 Bc6+ bxc6 b3 Qd7;1;10.0
Nc2+ Kd2 Ne1 Qxe1 d6 Bc6+ bxc6 b3 Qd7 Rh3;1;10.0
Kd2 Ne1 Qxe1 d6 Bc6+ bxc6 b3 Qd7 Rh3 Qxh3;1;10.0
Ne1 Qxe1 d6 Bc6+ bxc6 b3 Qd7 Rh3 Qxh3 Nxh3;1;10.0
Qxe1 d6 Bc6+ bxc6 b3 Qd7 Rh3 Qxh3 Nxh3 Rb8;1;10.0
d6 Bc6+ bxc6 b3 Qd7 Rh3 Qxh3 Nxh3 Rb8 Nf4;1;10.0
Bc6+ bxc6 b3 Qd7 Rh3 Qxh3 Nxh3 Rb8 Nf4 Rxb3;1;10.0
bxc6 b3 Qd7 Rh3 Qxh3 Nxh3 Rb8 Nf4 Rxb3 axb3;1;10.0
b3 Qd7 Rh3 Qxh3 Nxh3 Rb8 Nf4 Rxb3 axb3 Bg4;1;10.0
Qd7 Rh3 Qxh3 Nxh3 Rb8 Nf4 Rxb3 axb3 Bg4 Kc3;1;10.0
Rh3 Qxh3 Nxh3 Rb8 Nf4 Rxb3 axb3 Bg4 Kc3 Bxe2;1;10.0
Qxh3 Nxh3 Rb8 Nf4 Rxb3 axb3 Bg4 Kc3 Bxe2 Qxe2;1;10.0
Nxh3 Rb8 Nf4 Rxb3 axb3 Bg4 Kc3 Bxe2 Qxe2 e5;1;10.0
Rb8 Nf4 Rxb3 axb3 Bg4 Kc3 Bxe2 Qxe2 e5 Kb2;1;10.0
Nf4 Rxb3 axb3 Bg4 Kc3 Bxe2 Qxe2 e5 Kb2 Be7;1;10.0
Rxb3 axb3 Bg4 Kc3 Bxe2 Qxe2 e5 Kb2 Be7 f3;1;10.0
axb3 Bg4 Kc3 Bxe2 Qxe2 e5 Kb2 Be7 f3 Bg5;1;10.0
Bg4 Kc3 Bxe2 Qxe2 e5 Kb2 Be7 f3 Bg5 Qxe5+;1;10.0
