M,freq_eps_1,freq_eps_0.5,freq_eps_0.6666666666666666,freq_eps_0.75,freq_eps_1.25
10.1477,7.810379047502786e+23,1.5620758095005573e+24,1.171556857125418e+24,1.0413838730003716e+24,6.248303238002228e+23
18.9312,1.457077444387248e+24,2.914154888774496e+24,2.185616166580872e+24,1.942769925849664e+24,1.1656619555097982e+24
9.10858,7.010599681159566e+23,1.4021199362319132e+24,1.0515899521739349e+24,9.347466241546089e+23,5.608479744927653e+23
66.2572,5.099617121379244e+24,1.0199234242758489e+25,7.649425682068868e+24,6.799489495172327e+24,4.0796936971033955e+24
13.8486,1.0658850308665716e+24,2.1317700617331432e+24,1.5988275462998575e+24,1.421180041155429e+24,8.527080246932573e+23
23.1339,1.780546605112732e+24,3.561093210225464e+24,2.670819907669098e+24,2.3740621401503095e+24,1.4244372840901857e+24
15.1534,1.1663115568890361e+24,2.3326231137780722e+24,1.7494673353335543e+24,1.5550820758520483e+24,9.330492455112289e+23
17.889,1.3768624494296967e+24,2.7537248988593935e+24,2.0652936741445455e+24,1.8358165992395958e+24,1.1014899595437574e+24
7.79509,5.9996459896723884e+23,1.1999291979344777e+24,8.999468984508584e+23,7.999527986229852e+23,4.79971679173791e+23
57.7507,4.4448974374352727e+24,8.889794874870545e+24,6.66734615615291e+24,5.926529916580364e+24,3.555917949948218e+24
3.83292,2.9500830788015393e+23,5.9001661576030786e+23,4.4251246182023095e+23,3.933444105068719e+23,2.3600664630412313e+23
22.6546,1.7436563277349216e+24,3.487312655469843e+24,2.615484491602382e+24,2.3248751036465622e+24,1.394925062187937e+24
3.09373,2.381150799750761e+23,4.762301599501522e+23,3.571726199626142e+23,3.1748677330010146e+23,1.9049206398006084e+23
23.7551,1.82835849809645e+24,3.6567169961929e+24,2.742537747144675e+24,2.4378113307952664e+24,1.4626867984771598e+24
7.04429,5.421777843307686e+23,1.0843555686615372e+24,8.13266676496153e+23,7.229037124410248e+23,4.3374222746461486e+23
21.5133,1.6558139042604895e+24,3.311627808520979e+24,2.4837208563907345e+24,2.2077518723473196e+24,1.3246511234083916e+24
69.8515,5.376259566568196e+24,1.0752519133136392e+25,8.064389349852296e+24,7.168346088757596e+24,4.301007653254557e+24
20.0447,1.542780185593574e+24,3.085560371187148e+24,2.314170278390361e+24,2.0570402474580987e+24,1.2342241484748592e+24
7.86979,6.057140329754225e+23,1.211428065950845e+24,9.085710494631339e+23,8.076187106338968e+23,4.84571226380338e+23
25.8462,1.989304166831563e+24,3.978608333663126e+24,2.9839562502473445e+24,2.6524055557754175e+24,1.5914433334652504e+24
15.6073,1.2012468727700881e+24,2.4024937455401763e+24,1.8018703091551323e+24,1.6016624970267843e+24,9.609974982160705e+23
15.6783,1.2067115289224448e+24,2.4134230578448896e+24,1.8100672933836673e+24,1.6089487052299265e+24,9.653692231379558e+23
58.2989,4.487090740290511e+24,8.974181480581022e+24,6.730636110435767e+24,5.982787653720681e+24,3.5896725922324086e+24
